File,Sex,Genotype,Landmark1_X,Landmark1_Y,Landmark1_Z,,Landmark2_X,Landmark2_Y,Landmark2_Z
V221118_HandGal4dcrmCherryTripControl_tube1_f1,Virgin,Control,0.6608,0.47495,1.45435,,0.69325,0.2242,1.87325
V221118_HandGal4dcrmCherryTripControl_tube1_f2,Virgin,Control,0.69915,0.59295,1.4691,,0.66375,0.4248,2.10925
V221118_HandGal4dcrmCherryTripControl_tube1_f3,Virgin,Control,0.6608,0.5841,1.4632,,0.7021,0.20355,1.74345
V221118_HandGal4dcrmCherryTripControl_tube1_f4,Virgin,Control,0.7552,0.56935,1.5635,,0.82895,0.36285,2.08565
V221118_HandGal4dcrmCherryTripControl_tube1_f5,Virgin,Control,0.6844,0.59,1.593,,0.6254,0.27435,1.9057
M221118_HandGal4dcrmCherryTripControl_tube1_m10,Male,Control,0.6549,0.69325,1.534,,0.76405,0.63425,1.9647
M221118_HandGal4dcrmCherryTripControl_tube1_m6,Male,Control,0.80535,0.43365,1.24195,,0.9204,0.3363,1.4927
M221118_HandGal4dcrmCherryTripControl_tube1_m7,Male,Control,0.8378,0.59295,1.37175,,0.9735,0.42775,1.69035
M221118_HandGal4dcrmCherryTripControl_tube1_m8,Male,Control,0.72275,0.52215,1.25375,,0.7257,0.32155,1.55465
M221118_HandGal4dcrmCherryTripControl_tube1_m9,Male,Control,0.85255,0.59885,1.45435,,0.92335,0.413,1.83195
V221118_HandGal4dcrTraRNAi_tube1_f1,Virgin,Masculinised,0.81125,0.56935,1.5694,,0.7847,0.472,2.3305
V221118_HandGal4dcrTraRNAi_tube1_f2,Virgin,Masculinised,0.6667,0.5723,1.53105,,0.74635,0.28025,2.1476
V221118_HandGal4dcrTraRNAi_tube1_f3,Virgin,Masculinised,0.767,0.53395,1.6284,,0.77585,0.531,2.34525
V221118_HandGal4dcrTraRNAi_tube1_f4,Virgin,Masculinised,0.7375,0.51035,1.6166,,0.81715,0.59,2.27445
V221118_HandGal4dcrTraRNAi_tube1_f5,Virgin,Masculinised,0.8142,0.50445,1.51335,,0.6372,0.44545,2.1712
V221118_HandGal4dcrTraRNAi_tube1_f6,Virgin,Masculinised,0.62835,0.5487,1.5281,,0.70505,0.4661,2.01485
M221118_HandGal4dcrTraRNAi_tube1_m10,Male,Masculinised,0.69325,0.61065,1.46615,,0.76405,0.5369,1.9175
M221118_HandGal4dcrTraRNAi_tube1_m11,Male,Masculinised,0.73455,0.69915,1.40125,,0.77585,0.4897,1.7582
M221118_HandGal4dcrTraRNAi_tube1_m7,Male,Masculinised,0.79945,0.49855,1.25965,,0.8732,0.35695,1.55465
M221118_HandGal4dcrTraRNAi_tube1_m8,Male,Masculinised,0.84075,0.53395,1.33635,,1.0148,0.53395,1.7936
M221118_HandGal4dcrTraRNAi_tube1_m9,Male,Masculinised,0.71095,0.5192,1.2803,,0.7375,0.3599,1.7523
